row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1.228513849686648,1.2085585801081185,0.3813986030713295,0.32912141797828065,0.544413481318471,0.5323278955173899,0.8322190594651485,0.7195139453666938,1.0584724680667847,1.0739307754867722,0.9092295364301775,0.8752212601062048,0.9823051715064823,0.9896127350141128,1.1509412524518012,0.904170454001818,1.0567861072573315,0.8932091087403722,0.9884884944744774,0.8861826053676506,0.9988877194661053,0.9876453140697508,1.1205867578816437,0.9896127350141128
B,1.0404846194326174,0.9974824187915611,0.24716428263885568,0.3150684112328374,0.5314847151126633,0.5416028799693824,0.6174891163947759,0.6666746400038273,0.9474537147777831,0.7951191216571785,0.8690379371382099,0.9348060087068842,0.9941096971726546,0.8634167344400325,0.851893268908769,0.9941096971726546,1.037111897813711,0.8018645648949911,0.8718485384872985,0.8325001196000574,0.9249689039850739,0.7540843419604841,0.8080478878629862,0.9980445390613788
C,1.120305697746735,1.0964155862794813,0.28892981868631296,0.317879012581926,0.6118679136965985,0.5227718509304885,0.7796608142371908,0.8114206094818925,0.8223819547433383,1.0011362005453763,0.8771886810505669,1.0146270870210017,0.9179424006123523,0.9707817059752188,0.8670705161938478,0.7771312730230111,1.1630268382528823,0.8555470506625843,0.9033272735970913,0.8836530641534708,0.895738649954552,0.8164796919102522,0.8783129215902024,0.9918612160933837
D,1.035144476869349,1.1900086112041335,0.2412620198057695,0.2903351193608573,0.4848287327177917,0.5258635124144859,0.6537458737980194,0.6270451609816773,0.8206955939338851,0.8794371621298378,0.7658888676266564,0.9693764053006746,0.8577955317418553,0.8676326364636655,0.916537099937808,0.8940522891450988,0.9570097593646845,0.953918097880687,1.0115354255370044,0.9735923073243076,1.1068148112711094,1.0486353633449743,0.8198524135291585,1.0253073721475388
E,1.1172140362627374,1.0298043343060805,0.34148806391427067,0.24407262115485817,0.5177127685021289,0.532046835382481,0.7285078696837775,0.764764627087021,0.7987729034109936,0.9044515141367268,0.9258120843898006,0.9047325742716357,0.8443046452662297,0.926936324929436,0.9154128593981725,0.9106348371047218,0.812544850021528,0.9224393627708941,0.9030462134621825,0.9482968951825097,0.9452052336985122,0.8726917188920251,0.9800566904272114,0.9898937951490216
F,1.0632504903602353,0.9676900444912214,0.27248780079414436,0.27361204133377987,0.5258635124144859,0.44941515571927476,0.7686994689757451,0.8294084581160599,0.795962302061905,1.0255884322824476,0.8740970195665694,1.007881643783189,0.9620688417930441,0.8943333492800076,0.8878689661771038,1.0697148734631392,0.7928706405779075,1.003665741759556,0.9606635411184997,0.9359302492465197,0.8954575898196431,0.8797182222647467,0.831375879060422,1.1073769315409272
G,1.091075443716213,1.1770798449983255,0.2830275558532268,0.22240288475338468,0.5081567239152275,0.5562180069846434,0.7833145959910061,0.7557707027699373,0.8381213222982348,0.8257546763622446,0.9896127350141128,0.8679136965985744,0.9072621154858155,0.8527364493134957,1.132391283547816,0.9522317370712338,0.8173228723149787,1.043295220781706,1.093042864660575,1.0418899201071616,0.804113045974262,0.8670705161938478,0.8760644405109315,0.9853968329904799
H,1.1919760321484953,0.9744354877290341,0.2550339664163039,0.28892981868631296,0.5399165191599292,0.5643687508970004,0.7369396737310434,0.7518358608812132,0.8805614026694732,0.9283416256039803,0.933119647897431,0.951950676936325,0.8771886810505669,0.8412129837822322,1.0629694302253265,0.91850452088217,0.9758407884035785,0.8417751040520499,0.8648220351145769,1.1183382768023729,0.8974250107640052,1.039079318758073,0.9896127350141128,0.9755597282686695
I,1.3237932354207531,0.8319379993302397,0.2864002774721332,0.31534947136774627,0.46515452327417117,0.442669712481462,0.735534373056499,0.679603406209635,0.8145122709658901,0.7369396737310434,0.85414174998804,0.7805039946419174,1.0042278620293739,0.912321197914175,0.8693189972731187,0.9977634789264699,1.0090058843228245,0.899673491843276,0.9373355499210639,0.947734774912692,0.8712864182174808,0.8636977945749414,0.8018645648949911,0.9910180356886571
J,1.1585298760943405,1.0635315504951444,0.299329043677941,0.24435368128976703,0.5331710759221164,0.4600954408458116,0.6947806534947137,0.6644261589245563,0.8816856432091088,0.8018645648949911,0.885339424962924,0.8760644405109315,0.8909606276611013,0.8358728412189638,0.7717911304597427,0.8468341864804095,0.9128833181839927,0.9794945701573937,0.8881500263120127,0.9325575276276132,0.9761218485384873,0.8291273979811511,0.8566712912022197,0.9868021336650242
K,0.8766265607807492,0.9348060087068842,0.2522233650672152,0.2920214801703105,0.5264256326843036,0.39545160981677274,0.6801655264794527,0.6346337846242166,0.7372207338659522,0.7310374108979573,0.8156365115055255,0.7976486628713582,0.7431229966990385,0.9190666411519878,0.908105295890542,0.8614493134956704,0.9258120843898006,0.7701047696502894,0.8760644405109315,0.8735348992967517,0.8690379371382099,0.8097342486724394,0.9988877194661053,0.8150743912357078
L,1.0357065971391666,1.184668468640865,0.27108250011960006,0.26093622924939003,0.4100667368320337,0.5011302205425059,0.6082141319427834,0.6624587379801943,0.8316569391953308,0.8704432378127541,0.8769076209156581,0.8310948189255131,0.8982681911687318,0.7782555135626466,0.9398650911352437,0.9148507391283548,0.987364253934842,1.0227778309333588,0.8471152466153183,0.9454862938334211,0.8482394871549539,0.8181660527197053,0.8802803425345644,0.9570097593646845
M,1.1486927713725303,1.059877768741329,0.2797953643017749,0.2581256279003014,0.42974094627565423,0.4665598239487155,0.6405360474573027,0.6818518872889059,0.7535222216906664,0.8400887432425967,1.028961153901354,0.7830335358560973,1.0503217241544276,0.9007977323829116,0.7962433621968139,0.9553233985552313,0.9359302492465197,1.1006314883031143,1.0635315504951444,0.7686994689757451,0.862573554035306,0.7653267473568387,0.8516122087738602,0.991299095823566
N,,0.8516122087738602,0.23788929818686314,0.22408924556283788,0.5011302205425059,0.5593096684686408,0.7428419365641296,0.8111395493469837,0.7197950055016027,0.8926469884705545,0.8797182222647467,0.9131643783189016,0.8361539013538727,0.8563902310673109,0.8895553269865569,0.9820241113715735,0.9348060087068842,0.756332823039755,1.1380124862459935,0.9260931445247094,0.8094531885375306,0.8488016074247716,0.8859015452327417,1.0087248241879156
O,1.1467253504281683,1.1205867578816437,0.2987669234081232,0.2976426828684878,0.5480672630722863,0.49326053676505766,0.7212003061761469,0.6697663014878247,0.7909032196335455,0.9738733674592164,0.9272173850643448,1.028399033631536,0.9713438262450366,0.935368128976702,1.1939434530928574,0.9437999330239679,1.0458247619958858,0.904170454001818,1.0862974214227623,1.045262641726068,1.1706154618954216,1.0573482275271493,0.9502643161268718,0.9536370377457781
P,1.136607185571449,1.1683669808161508,0.29483208151939916,0.34626608620772137,0.5137779266134048,0.49579007797923746,0.8577955317418553,0.7372207338659522,0.8566712912022197,1.1456011098885328,1.0483543032100655,0.8777508013203846,1.1155276754532841,1.016313447830455,1.0362687174089844,1.1124360139692868,1.0084437640530068,1.0919186241209395,1.1841063483710472,1.0517270248289718,1.061845189685691,1.0924807443907574,1.1121549538343778,1.0202482897191791
